"","x"
"1076","Ndufa6"
"1077","Ndufa7"
"1078","Ndufa8"
"1079","Ndufaf8"
"1080","Ndufb11"
"1081","Ndufb2"
"1082","Ndufb4"
"1083","Ndufc1"
"1084","Ndufc2"
"1085","Ndufs7"
"1086","Ndufs8"
"1087","Ndufv1"
"1088","Necap2"
"1089","Nedd8"
"1090","Nenf"
"1091","Neu2"
"1092","Nfatc4"
"1093","Nfil3"
"1094","Nfix"
"1095","Nfkb2"
"1096","Nfkbie"
"1097","Ngf"
"1098","Nid1"
"1099","Nid2"
"1100","Nkiras2"
"1101","Nkpd1"
"1102","Nlgn2"
"1103","Nlrc5"
"1104","Nlrp3"
"1105","Nlrx1"
"1106","Nme2"
"1107","Nme6"
"1108","Nnmt"
"1109","Nod2"
"1110","Nol6"
"1111","Nomo1"
"1112","Nosip"
"1113","Npc2"
"1114","Npdc1"
"1115","Npepl1"
"1116","Nphs1"
"1117","Npm3"
"1118","Nppb"
"1119","Nr1h2"
"1120","Nr2c2ap"
"1121","Nr2f6"
"1122","Nr4a3"
"1123","Nrep"
"1124","Nrg1"
"1125","Nrip3"
"1126","Nsmce1"
"1127","Nsmf"
"1128","Nt5c"
"1129","Nt5c3b"
"1130","Nt5dc2"
"1131","Nubp1"
"1132","Nubp2"
"1133","Nucb1"
"1134","Nudt1"
"1135","Nudt16l1"
"1136","Nudt18"
"1137","Nudt3"
"1138","Numbl"
"1139","Nup62"
"1140","Oaf"
"1141","Oaz1"
"1142","Oaz2"
"1143","Obsl1"
"1144","Odc1"
"1145","Ogfr"
"1146","Ogg1"
"1147","Ogn"
"1148","Olfml2b"
"1149","Olfml3"
"1150","Olfr1033"
"1151","Opa3"
"1152","Orai1"
"1153","Orai3"
"1154","Ormdl3"
"1155","Osbpl3"
"1156","Osgep"
"1157","Osm"
"1158","Osmr"
"1159","Osr2"
"1160","Ost4"
"1161","Ostc"
"1162","P3h1"
"1163","P3h3"
"1164","P3h4"
"1165","P4ha2"
"1166","P4ha3"
"1167","P4hb"
"1168","Pald1"
"1169","Palm"
"1170","Pamr1"
"1171","Paqr3"
"1172","Paqr4"
"1173","Paqr7"
"1174","Parp10"
"1175","Parp8"
"1176","Pbxip1"
"1177","Pcbp1"
"1178","Pcbp4"
"1179","Pccb"
"1180","Pcdh7"
"1181","Pcdhgc4"
"1182","Pck2"
"1183","Pcnx3"
"1184","Pcolce"
"1185","Pcx"
"1186","Pcyox1l"
"1187","Pdcd2l"
"1188","Pddc1"
"1189","Pde4b"
"1190","Pdgfb"
"1191","Pdgfrb"
"1192","Pdgfrl"
"1193","Pdia5"
"1194","Pdlim4"
